,Company,rating,reviews,place,company type,old
0,TCS,3.9,(37.5k Reviews),"Mumbai,Maharashtra + 233 more",Public,54 years old
1,Accenture,4.1,(25.3k Reviews),"Dublin,Dublin + 128 more",Public,33 years old
2,Cognizant,3.9,(23.2k Reviews),"Teaneck,New Jersey + 86 more",Private,28 years old
3,ICICI Bank,4.0,(30.1k Reviews),"Mumbai,Maharashtra + 964 more",Public,28 years old
4,Wipro,3.9,(21.7k Reviews),"Bangalore/Bengaluru,Karnataka + 246 more",Public,77 years old
5,HDFC Bank,4.0,(30.9k Reviews),"Mumbai,Maharashtra + 1060 more",Public,28 years old
6,Capgemini,3.9,(18.6k Reviews),Paris + 67 more,Public,55 years old
7,HCL Technologies,3.8,(18.4k Reviews),"Noida,Uttar Pradesh + 154 more",Public,46 years old
8,Infosys,4.0,(22.2k Reviews),"Bangalore/Bengaluru,Karnataka + 115 more",Public,41 years old
9,Tech Mahindra,3.7,(17.3k Reviews),"Pune,Maharashtra + 176 more",Public,36 years old
10,Genpact,4.0,(17.1k Reviews),"New York,New York + 54 more",Private,25 years old
11,Axis Bank,3.9,(15.9k Reviews),"Mumbai,Maharashtra + 955 more",Public,29 years old
12,Reliance jio,4.0,(12.7k Reviews),"Navi Mumbai,Maharashtra + 875 more",Public,15 years old
13,IBM,4.1,(12.9k Reviews),"Armonk,New York + 105 more",Public,111 years old
14,Larsen & Toubro ...,4.0,(16.1k Reviews),"Mumbai,Maharashtra + 472 more",Public,84 years old
15,Vodafone Idea,4.2,(12.3k Reviews),"Gandhinagar,Gujrat + 534 more",Public,4 years old
16,Concentrix Corpo...,4.1,(12.3k Reviews),"Fremont,California + 56 more",Public,39 years old
17,Amazon,4.2,(12.2k Reviews),"Seattle,Washington + 311 more",Private,28 years old
18,HDB Financial Se...,4.0,(11k Reviews),"Ahmedabad,Gujrat + 676 more",Private,15 years old
19,Kotak Mahindra B...,3.9,(11.4k Reviews),"Mumbai,Maharashtra + 442 more",Public,19 years old
20,Teleperformance,3.6,(8.5k Reviews),Paris + 108 more,Private,44 years old
21,Bharti Airtel,4.1,(11k Reviews),"Gurgaon/Gurugram,Haryana + 449 more",Public,27 years old
22,Tata Motors,4.1,(7.9k Reviews),"Pune,Maharashtra + 366 more",Public,77 years old
23,Reliance Industr...,4.0,(33.9k Reviews),"Navi Mumbai,Maharashtra + 385 more",Public,49 years old
24,Deloitte,4.0,(7.4k Reviews),"New York,New York + 128 more",Private,177 years old
25,Reliance Retail,4.1,(11.1k Reviews),"Navi Mumbai,Maharashtra + 468 more",Private,16 years old
26,Mahindra & Mahin...,4.1,(17.8k Reviews),"Mumbai,Maharashtra + 372 more",Public,77 years old
27,IndusInd Bank,3.8,(5.8k Reviews),"Gurgaon/Gurugram,Haryana + 511 more",Public,28 years old
28,WNS,3.7,(5.6k Reviews),"Mumbai,Maharashtra + 20 more",Private,26 years old
29,Hinduja Global S...,3.9,(5.4k Reviews),"Bangalore/Bengaluru,Karnataka + 71 more",Public,22 years old
30,DXC Technology,3.8,(5.6k Reviews),"Minato,Tokyo + 49 more",Public,31 years old
31,Flipkart,4.2,(8.9k Reviews),"Bangalore,Karnataka + 362 more",Private,15 years old
32,Maruti Suzuki,4.1,(5k Reviews),"New Delhi,Delhi + 351 more",Public,39 years old
33,Samsung,4.0,(7.2k Reviews),"Suwon-Si,Gyeonggi-Do + 400 more",Private,84 years old
34,Infosys BPM,4.0,(4.8k Reviews),20 years old,"Bangalore/Bengaluru,Karnataka + 40 more",10k-50k Employees (India)
35,Ernst & Young,3.8,(4.7k Reviews),London + 64 more,Private,20 years old
36,HSBC,4.1,(4.9k Reviews),"Pune,Maharashtra + 52 more",Private,20 years old
37,Ericsson,4.2,(4.6k Reviews),"Stockholm,Stockholm County + 124 more",Private,146 years old
38,Bajaj Finserv,4.1,(11.5k Reviews),"Pune,Maharashtra + 578 more",Public,15 years old
39,Conneqt Business...,3.8,(4.2k Reviews),20 years old,"Mumbai,Maharashtra + 137 more",10k-50k Employees (India)
40,Startek,3.5,(4.2k Reviews),5 years old,"Mumbai,Maharashtra + 48 more",5k-10k Employees (India)
41,Dr. Reddy's,4.2,(4.3k Reviews),"Hyderabad/Secunderabad,Telangana + 121 more",Public,36 years old
42,Jana Small Finan...,3.9,(4.1k Reviews),"Bangalore/Bengaluru,Karnataka + 290 more",Public,16 years old
43,Cipla Pharmaceut...,4.1,(4.1k Reviews),"Mumbai,Maharashtra + 178 more",Public,87 years old
44,Sutherland Globa...,3.8,(4.4k Reviews),"Pittsford,New York + 38 more",Private,36 years old
45,IDFC FIRST Bank,4.0,(4k Reviews),"Mumbai,Maharashtra + 313 more",Public,4 years old
46,Mphasis,3.8,(4k Reviews),"Bangalore/Bengaluru,Karnataka + 39 more",Public,22 years old
47,ICICI Prudential...,4.1,(4k Reviews),"Mumbai,Maharashtra + 385 more",Public,22 years old
48,BYJU'S,3.7,(7.7k Reviews),"Bangalore,Karnataka + 132 more",Private,11 years old
49,Bajaj Allianz Li...,4.2,(3.9k Reviews),Pune + 406 more,Private,21 years old
50,Indian Army,4.7,(3.8k Reviews),127 years old,"New Delhi,Delhi + 256 more",1 Lakh+ Employees (India)
51,Asian Paints,4.3,(4.2k Reviews),"Mumbai,Maharashtra + 300 more",Public,80 years old
52,Yes Bank,4.0,(3.8k Reviews),"Mumbai,Maharashtra + 318 more",Public,18 years old
53,Lupin,4.2,(3.7k Reviews),"Mumbai,Maharashtra + 121 more",Public,54 years old
54,Home Credit Fina...,4.3,(3.6k Reviews),Gurugram + 96 more,Private,10 years old
55,NTT DATA,4.0,(7k Reviews),"Chiyoda City,Tokyo + 33 more",Private,34 years old
56,HDFC LIFE,4.1,(3.5k Reviews),22 years old,"Mumbai,Maharashtra + 368 more",10k-50k Employees (India)
57,ITC,3.9,(6.5k Reviews),"Kolkata,West Bengal + 211 more",Public,47 years old
58,EXL Service,3.9,(4.3k Reviews),"New York City,New York + 31 more",Private,23 years old
59,Udaan,4.2,(3.3k Reviews),"Bangalore,Karnataka + 283 more",Private,6 years old
60,Zydus Cadila,4.1,(4.2k Reviews),"Ahmedabad, India + 126 more",Public,70 years old
61,Bajaj Finance,4.2,(3.3k Reviews),"Pune,Maharashtra + 554 more",Private,35 years old
62,Intelenet Global...,3.7,(3.2k Reviews),"Mumbai,Maharashtra + 55 more",Private,22 years old
63,Hewlett-Packard ...,4.3,(4.6k Reviews),"Houston,Texas + 80 more",Private,83 years old
64,Hindustan Unilev...,4.3,(5.2k Reviews),"Mumbai,Maharashtra + 317 more",Public,89 years old
65,OPPO,4.0,(3.3k Reviews),"Dongguan,Guangdong + 294 more",Public,18 years old
66,Ujjivan Small Fi...,4.1,(3.2k Reviews),"Bangalore/Bengaluru,Karnataka + 352 more",Public,5 years old
67,L&T Infotech,3.9,(3.2k Reviews),"Mumbai,Maharashtra + 76 more",Public,26 years old
68,UltraTech Cement,4.3,(3.4k Reviews),"Mumbai,Maharashtra + 296 more",Public,39 years old
69,Shapoorji Pallon...,4.3,(4.7k Reviews),"Mumbai,Maharashtra + 128 more",Private,157 years old
70,Reliance Communi...,4.0,(3.5k Reviews),"Navi Mumbai,Maharashtra + 355 more",Public,20 years old
71,PwC,3.7,(3.1k Reviews),London + 58 more,Partnership,24 years old
72,Paytm,3.7,(3.7k Reviews),Noida + 213 more,Private,12 years old
73,Ashok Leyland,4.1,(3.6k Reviews),"Chennai,Tamil Nadu + 173 more",Public,74 years old
74,Mahindra & Mahin...,4.3,(3k Reviews),"Mumbai,Maharashtra + 508 more",Public,31 years old
